cliente_id,nombre,email,telefono
1,Cliente1,cliente1@correo.com,+573606236834
2,Cliente2,cliente2@correo.com,+573333662511
3,Cliente3,cliente3@correo.com,+573778933690
4,Cliente4,cliente4@correo.com,+573345885961
5,Cliente5,cliente5@correo.com,+573767627644
6,Cliente6,cliente6@correo.com,+573387238487
7,Cliente7,cliente7@correo.com,+573554877640
8,Cliente8,cliente8@correo.com,+573939706182
9,Cliente9,cliente9@correo.com,+573848423545
10,Cliente10,cliente10@correo.com,+573835459278
11,Cliente11,cliente11@correo.com,+573245027712
12,Cliente12,cliente12@correo.com,+573829288530
13,Cliente13,cliente13@correo.com,+573673228811
14,Cliente14,cliente14@correo.com,+573849616450
15,Cliente15,cliente15@correo.com,+573677582797
16,Cliente16,cliente16@correo.com,+573962770396
17,Cliente17,cliente17@correo.com,+573102637505
18,Cliente18,cliente18@correo.com,+573799709861
19,Cliente19,cliente19@correo.com,+573395886236
20,Cliente20,cliente20@correo.com,+573960924068
21,Cliente21,cliente21@correo.com,+573371197393
22,Cliente22,cliente22@correo.com,+573573502256
23,Cliente23,cliente23@correo.com,+573152718526
24,Cliente24,cliente24@correo.com,+573043842992
25,Cliente25,cliente25@correo.com,+573167900619
26,Cliente26,cliente26@correo.com,+573598638126
27,Cliente27,cliente27@correo.com,+573823365430
28,Cliente28,cliente28@correo.com,+573237871828
29,Cliente29,cliente29@correo.com,+573899579669
30,Cliente30,cliente30@correo.com,+573490268413
31,Cliente31,cliente31@correo.com,+573689631929
32,Cliente32,cliente32@correo.com,+573479411315
33,Cliente33,cliente33@correo.com,+573288979747
34,Cliente34,cliente34@correo.com,+573539402549
35,Cliente35,cliente35@correo.com,+573574892384
36,Cliente36,cliente36@correo.com,+573966227331
37,Cliente37,cliente37@correo.com,+573763735897
38,Cliente38,cliente38@correo.com,+573506805681
39,Cliente39,cliente39@correo.com,+573669505643
40,Cliente40,cliente40@correo.com,+573415851777
41,Cliente41,cliente41@correo.com,+573920629226
42,Cliente42,cliente42@correo.com,+573972869389
43,Cliente43,cliente43@correo.com,+573080645600
44,Cliente44,cliente44@correo.com,+573209316857
45,Cliente45,cliente45@correo.com,+573535976889
46,Cliente46,cliente46@correo.com,+573976152737
47,Cliente47,cliente47@correo.com,+573246604415
48,Cliente48,cliente48@correo.com,+573569311865
49,Cliente49,cliente49@correo.com,+573045612432
50,Cliente50,cliente50@correo.com,+573229338791
51,Cliente51,cliente51@correo.com,+573104779315
52,Cliente52,cliente52@correo.com,+573557800189
53,Cliente53,cliente53@correo.com,+573040900515
54,Cliente54,cliente54@correo.com,+573271959463
55,Cliente55,cliente55@correo.com,+573795172280
56,Cliente56,cliente56@correo.com,+573165281105
57,Cliente57,cliente57@correo.com,+573032254421
58,Cliente58,cliente58@correo.com,+573003384887
59,Cliente59,cliente59@correo.com,+573552391122
60,Cliente60,cliente60@correo.com,+573533279398
61,Cliente61,cliente61@correo.com,+573271418950
62,Cliente62,cliente62@correo.com,+573806468399
63,Cliente63,cliente63@correo.com,+573886489079
64,Cliente64,cliente64@correo.com,+573952167166
65,Cliente65,cliente65@correo.com,+573091297557
66,Cliente66,cliente66@correo.com,+573241738970
67,Cliente67,cliente67@correo.com,+573734214114
68,Cliente68,cliente68@correo.com,+573442477180
69,Cliente69,cliente69@correo.com,+573425772647
70,Cliente70,cliente70@correo.com,+573101102511
71,Cliente71,cliente71@correo.com,+573093098790
72,Cliente72,cliente72@correo.com,+573475378974
73,Cliente73,cliente73@correo.com,+573807778957
74,Cliente74,cliente74@correo.com,+573252091356
75,Cliente75,cliente75@correo.com,+573973483678
76,Cliente76,cliente76@correo.com,+573041112611
77,Cliente77,cliente77@correo.com,+573301383833
78,Cliente78,cliente78@correo.com,+573600914961
79,Cliente79,cliente79@correo.com,+573861169274
80,Cliente80,cliente80@correo.com,+573215677914
81,Cliente81,cliente81@correo.com,+573488670231
82,Cliente82,cliente82@correo.com,+573209092709
83,Cliente83,cliente83@correo.com,+573069705898
84,Cliente84,cliente84@correo.com,+573928802214
85,Cliente85,cliente85@correo.com,+573699308576
86,Cliente86,cliente86@correo.com,+573745745709
87,Cliente87,cliente87@correo.com,+573207238040
88,Cliente88,cliente88@correo.com,+573497524285
89,Cliente89,cliente89@correo.com,+573654545975
90,Cliente90,cliente90@correo.com,+573964192052
91,Cliente91,cliente91@correo.com,+573827290479
92,Cliente92,cliente92@correo.com,+573081297435
93,Cliente93,cliente93@correo.com,+573200786845
94,Cliente94,cliente94@correo.com,+573081333220
95,Cliente95,cliente95@correo.com,+573816905777
96,Cliente96,cliente96@correo.com,+573488519270
97,Cliente97,cliente97@correo.com,+573345483378
98,Cliente98,cliente98@correo.com,+573011479639
99,Cliente99,cliente99@correo.com,+573152306405
100,Cliente100,cliente100@correo.com,+573745536882
